RollGap,RollTemp,Thickness_B_C,Density_B_C,Porosity_B_C,Thickness_A_C,Density_A_C,Porosity_A_C,Coating_weight,Cap_C20,GCap_C20,Cap_C5,GCap_C5,Cap_C2,GCap_C2,Cap_1C,GCap_1C,Cap_2C,GCap_2C,Cap_5C,GCap_5C,Cap_10C,GCap_10C,ASI_9010,ASI_5010,ASI_2010,ASI_5002,ASI_2030,FCL,CapRatio
475,85,52.66,2.29,48.56,45,2.657184642,40.39514038,119.5733089,3.266396979,165.4894823,3.183044048,161.2664703,3.039472908,153.9925493,2.924030189,148.143733,2.781690111,140.9321828,2.459053203,124.5860329,1.421935983,72.04128926,42.90302622,56.20799914,122.7025224,44.78585109,77.94421599,9.086438153,0.772547651
475,85,52.66,2.29,48.56,45,2.65925247,40.34875572,119.6663611,3.284770838,166.2909716,3.201591653,162.0800393,3.057627081,154.7918571,2.941363636,148.9060397,2.789131668,141.1993219,2.454930501,124.280444,1.478548445,74.85126651,36.42280354,45.4360851,113.8706055,36.7322736,67.04030469,9.086438153,0.766784389
462,85,52.5,2.3,48.23,41,2.858548206,35.87823675,117.2004764,3.19835457,165.3228602,3.15818145,163.2463127,3.01815589,156.0083954,2.90726537,150.2764674,2.76172541,142.7535109,2.45485768,126.8915263,1.64803113,85.18668402,25.3703256,34.8608389,81.4162563,22.9060437,54.5064404,8.550986236,0.777301026
462,85,52.5,2.3,48.23,41,2.875910394,35.48877536,117.9123262,3.23963065,166.4454668,3.16380443,162.5496737,3.01981786,155.151944,2.91337991,149.6833841,2.77594444,142.6222363,2.47116328,126.9632159,1.7345165,89.11584055,20.5462285,32.9611007,72.5067389,16.615635,57.1709977,9.067909759,0.781073336
462,85,52.5,2.3,48.23,41,2.885584424,35.27177155,118.3089614,2.99373077,153.2959844,3.17306169,162.478744,3.02900158,155.1020498,2.92061322,149.5519514,2.77644157,142.1695458,2.45645871,125.7846096,1.6657254,85.29458211,20.6868986,29.7999023,75.1811817,17.4042455,50.0093126,10.40224832,0.774160401
458,85,52.5,2.3,48.39,38,3.050629364,31.56955218,115.9239158,4.34,226.804865,3.17,165.661618,3.03,158.345332,2.93,153.1194135,2.82,147.3709031,2.59,135.3512904,1.88,98.24726873,20.6868986,29.7999023,75.1811817,17.4042455,50.0093126,11.06557377,0.8170347
458,85,52.5,2.3,48.39,38,3.05944484,31.37180708,116.2589039,3.19316038,166.3911362,3.10991814,162.0534991,2.97044671,154.7858373,2.85332151,148.6826064,2.73332706,142.4298629,2.44159419,127.2280697,1.65416878,86.19642923,20.9052539,31.578632,72.6668635,17.2780797,59.2380252,9.354613761,0.785099183
458,85,52.5,2.3,48.39,38,3.078698086,30.93992628,116.9905273,3.23486954,167.5103907,3.15005918,163.1186784,3.01280106,156.0110776,2.90355135,150.3538288,2.7645222,143.1545193,2.46361747,127.5728495,1.64230161,85.04286834,19.129583,28.4237022,73.7269607,15.7346128,50.2027054,8.605255201,0.782086091
400,120,52.83,2.333045,47.57202,47,2.630569883,40.99215158,123.6367845,3.32352513,162.8496932,3.32481911,162.9130971,3.17736292,155.6878786,3.06219846,150.0449253,2.8813593,141.1839718,2.49467171,122.2366333,1.39224438,68.21870193,29.1085316,36.7465727,104.993511,28.7893581,61.396837,9.102939357,0.750318026
400,120,52.83,2.333045,47.57202,47,2.649539179,40.56664023,124.5283414,3.37818052,164.3426664,3.35282209,163.1090224,3.20316021,155.8282296,3.07950234,149.8124872,2.87149125,139.6931057,2.46736902,120.033255,1.28559214,62.54184433,28.1914,36.7084863,99.1123189,27.6633774,57.9484273,9.032377866,0.735908126
400,120,52.83,2.333045,47.57202,45,2.69185953,39.61732772,121.1336789,3.30997194,165.5370016,3.23160931,161.6179609,3.08360241,154.2158986,2.96606621,148.3377249,2.81220964,140.6431112,2.36016092,118.0354302,0.93504944,46.76332109,63.4865655,78.2056463,133.641787,65.9867588,106.250777,9.564640791,0.730336094
395,120,52.8,2.35,47.05,42,2.880299575,35.39031909,120.9725822,3.32469752,166.4948744,3.24077034,162.2919521,3.09099444,154.7914443,2.97602127,149.0337947,2.83031618,141.7371457,2.480909,124.2394623,1.58049599,79.14839764,21.8680269,28.3721486,70.1820734,19.5427901,47.6486751,9.10995755,0.765530642
395,120,52.8,2.35,47.05,41,2.904521125,34.84699136,119.0853661,3.32874424,169.3392809,3.21780956,163.6958317,3.07106084,156.2304571,2.96223368,150.6942213,2.82749262,143.8396982,2.49905212,127.1313319,1.62048936,82.43724452,28.47431,36.6516257,72.6974275,28.3934075,59.2476479,26.17425285,0.776631455
395,120,52.8,2.35,47.05,41,2.905811942,34.8180363,119.1382896,3.20865321,163.1575216,3.21381648,163.4200699,3.07144394,156.1805369,2.96414249,150.7243416,2.80985212,142.8787962,2.4456352,124.3586489,1.64675766,83.73634698,27.2491711,37.7054724,84.6935624,25.0835742,63.9596797,9.081838935,0.760975375
390,120,51.83,2.373077,46.67242,39,3.090870775,30.66687361,120.5439602,3.17156718,159.3911262,3.2269803,162.1759828,3.0791107,154.7446087,2.96662573,149.0915341,2.83000554,142.2255133,2.53556005,127.4277822,1.55398167,78.09731734,18.6777392,23.7277358,61.6162359,15.5035394,42.5516635,8.704483176,0.785737691
390,120,51.83,2.373077,46.67242,37,3.171117058,28.86682238,117.3313312,3.26773701,168.7208592,3.15571323,162.936811,3.01194395,155.5136688,2.90586334,150.0364803,2.77808717,143.4390996,2.50558008,129.3689249,1.77730089,91.76617713,24.2994263,33.2531837,74.5429806,22.4042797,55.4677543,26.03913393,0.793982183
390,120,51.83,2.373077,46.67242,37,3.197712398,28.27024678,118.3153587,3.26027648,166.9356089,3.17569755,162.6049224,3.03593118,155.448479,2.92252136,149.6415674,2.7814389,142.4177364,2.49449873,127.7255677,1.65986847,84.99007841,19.2299507,27.6561214,78.593368,16.1747765,46.734995,8.179005305,0.785496317
460,145,53.2,2.32,47.75,46,2.646780321,40.62852577,121.7518948,3.326112606,165.4995811,3.231541894,160.7939638,3.084570415,153.4810069,2.96428998,147.4961338,2.802138889,139.4278749,2.259019869,112.4035432,0.592459385,29.47939283,69.60920076,85.90538894,163.567807,74.82840303,117.366263,9.3739137,0.699053252
460,145,53.2,2.32,47.75,46,2.616765912,41.30179649,120.371232,3.275887449,164.870117,3.18876698,160.4854847,3.036869001,152.8407051,2.914737807,146.6940396,2.738415006,137.8199982,2.152367741,108.3251872,0.633653429,31.89075222,56.87052503,68.66950619,136.9848743,58.68417132,105.0162307,10.66209312,0.674984329
460,145,53.2,2.32,47.75,47,2.587879687,41.94976028,121.6303453,3.151534266,156.9696801,3.223025634,160.5304783,3.070192462,152.9182576,2.958124533,147.3364471,2.797552517,139.338775,2.220115571,110.5781507,0.618963401,30.82894832,59.23910157,77.91380211,136.7930409,60.96732836,124.3752841,19.12523711,0.688829635
450,145,52.83,2.31,48.02,41,2.920280432,34.49348514,119.7314977,3.26807645,165.3558148,3.19182854,161.4978771,3.04655986,154.1476755,2.93335262,148.4196958,2.78317735,140.821234,2.43712538,123.3119418,1.59621219,80.76401251,24.3083972,34.8619865,74.0177955,21.3022476,63.1785192,9.663958228,0.763551472
450,145,52.83,2.31,48.02,41,2.948210293,33.86697413,120.876622,3.30485317,165.6324911,3.22005641,161.3826507,3.07641423,154.183598,2.96033752,148.3660704,2.82214911,141.4403495,2.52846061,126.7212817,1.76175386,88.2955053,17.5221118,22.1364052,53.9950734,14.4921766,39.8445544,9.304674485,0.785222458
450,145,52.83,2.31,48.02,41,2.959189324,33.62069708,121.3267623,3.28627768,164.0904584,3.25017002,162.2875303,3.10818681,155.1980229,2.99303539,149.4482807,2.84889427,142.2510245,2.54887917,127.2706668,1.71789105,85.77775751,19.9444795,28.4437827,69.5151791,16.6703038,45.1225705,8.769827824,0.784229488
446,145,53,2.34,47.46,39,3.155485424,29.21746468,123.0639316,3.39640312,167.1953232,3.29701783,162.3028663,3.1500545,155.0682771,3.03360835,149.3359624,2.88825706,142.1807293,2.56813723,126.4221351,1.49395448,73.5431553,18.3241229,28.0759196,70.5038093,14.099855,39.4136218,8.523259125,0.77892731
446,145,53,2.34,47.46,39,3.182864261,28.60331403,124.1317062,3.42994392,167.3940335,3.33196515,162.6123047,3.18628335,155.5024905,3.0677129,149.715811,2.92020483,142.516868,2.56993928,125.4226051,1.28170316,62.55188617,17.0189593,27.2046811,69.8488256,12.974281,42.9851305,8.362368488,0.771298367
446,145,53,2.34,47.46,38,3.188279359,28.48184481,121.1546156,3.31619676,165.8196545,3.23926297,161.9727373,3.09575323,154.7968255,2.97613761,148.8156904,2.82623157,141.3199446,2.49715235,124.8650095,1.44332719,72.170632,17.8460052,26.631536,71.3489968,14.319517,48.5649293,10.80817946,0.770901397
495,85,75.33,2.41,45.85,67,2.696050161,39.52332524,180.6353608,4.902511571,164.4188234,4.75250802,159.3880535,4.5362832,152.1363765,4.125134099,138.347393,2.679692653,89.87065234,0.40887,13.71254781,2.60E-05,0.000871399,140.6739465,170.4303811,244.5881555,160.1023432,244.3168865,9.648377044,0.086032469
495,85,75.33,2.41,45.85,67,2.709738911,39.21626489,181.5525071,4.95592303,165.370478,4.81584373,160.6962769,4.57663055,152.7141518,4.27408053,142.6185871,3.48203521,116.1894209,0.41853309,13.96571673,2.67E-05,0.000892067,102.856088,127.371028,184.644629,114.560295,182.915612,9.142194599,0.086907531
495,85,75.33,2.41,45.85,66,2.715742355,39.08159815,179.2389954,4.88160552,164.9931293,4.7472128,160.4507968,4.52075065,152.7966145,4.21217229,142.3669907,3.18661699,107.7043008,0.14242144,4.813694793,2.63E-05,0.000890163,120.995281,170.891428,217.431529,135.523523,216.714571,9.457667342,0.030001065
476,85,74.66,2.43,45.4,61,2.937848417,34.09940743,179.2087534,4.93555324,166.8446563,4.79855657,162.2135316,4.58939407,155.1428662,4.39516561,148.5770409,4.05436885,137.0565252,2.20231007,74.44832398,0.55070401,18.61635703,19.9183524,30.5661782,62.5594906,17.4489371,60.0345393,8.53908967,0.458952612
476,85,74.66,2.43,45.4,61,2.953465178,33.74909874,180.1613759,4.96703445,167.0210316,4.82857083,162.365067,4.61467162,155.1725123,4.42948524,148.9454526,4.13676491,139.1024664,2.22795643,74.91705262,0.61746324,20.76276063,19.7670323,32.9064442,60.1517127,17.8359457,62.7137479,8.6433661,0.461411152
476,85,74.66,2.43,45.4,61,2.961225889,33.57501371,180.6347792,4.96829184,166.6254769,4.8345116,162.1387847,4.61885967,154.9062978,4.4321121,148.6431989,4.1435093,138.9641018,2.5998343,87.19266985,0.76122907,25.5299328,20.765075,27.3987765,60.5187797,19.4259206,40.5670167,9.081040751,0.537765656
466,85,75,2.41,45.9,56,3.153682111,29.25791586,176.6061982,4.87163454,167.1107694,4.732183798,162.3272167,4.52050268,155.0659588,4.336641403,148.7589998,4.030147012,138.24538,1.411783469,48.42814455,0.317433741,10.88887031,24.29792284,55.97406132,73.58267102,28.37271485,77.62123338,8.623324519,0.298336567
466,85,75,2.41,45.9,56,3.147752107,29.39093524,176.274118,4.853309283,166.7957948,4.716964718,162.1099818,4.507775329,154.9206789,4.32596129,148.6721966,3.99973878,137.4607654,1.374247756,47.22937143,0.303777495,10.44005353,39.000183,75.56450144,80.16704882,50.24448615,80.24308147,9.125975814,0.291341538
466,85,75,2.41,45.9,56,3.129692077,29.79605032,175.2627563,4.829909615,166.9494704,4.688612754,162.0654377,4.479046176,154.8216108,4.303174739,148.7424819,4.008427656,138.5543266,1.499252219,51.82278425,0.389836663,13.47499843,23.90877665,56.33592952,65.60692218,23.99940024,69.13980109,8.994380872,0.319764565
420,120,73,2.514173108,43.50172792,69,2.68706925,39.7247813,185.4077782,5.05921794,165.3069519,4.94381926,161.5363683,4.70601798,153.7663522,4.42598965,144.6165923,3.88084509,126.8043164,1.58879468,51.91292584,0.09194889,3.004375561,62.0787202,80.6305902,119.999804,67.200153,120.91611,9.508151503,0.321369896
420,120,73,2.514173108,43.50172792,69,2.687768827,39.70908866,185.4560491,5.07197737,165.6807238,4.93412602,161.1776849,4.70625709,153.7341404,4.4486891,145.3204492,3.83341501,125.2219651,0.64077634,20.93153815,2.74E-05,0.000894686,86.7017061,125.672596,149.28097,111.028279,156.447512,9.211734781,0.129866229
420,120,73,2.514173108,43.50172792,69,2.690727282,39.64272584,185.6601825,5.0617928,165.1662354,4.97345152,162.2836606,4.75463132,155.1435602,4.52331353,147.5956636,4.10132108,133.8260553,1.9608722,63.98323523,0.22937672,7.48455949,52.8645454,68.2979959,108.606646,55.9415208,99.5292614,8.638992588,0.394267883
410,120,75.5,2.441252591,45.14039121,61,2.998818618,32.73174927,182.9279357,5.02532843,166.4255866,4.89117579,161.9828059,4.67055199,154.6763292,4.48309053,148.4681014,4.15851248,137.7189349,1.92244223,63.66620216,0.48948682,16.21050888,19.8941582,34.1471434,61.4013878,18.9231869,64.5462998,9.069667525,0.393042964
410,120,75.5,2.441252591,45.14039121,61,2.995977473,32.79548064,182.7546259,5.00880665,166.0357347,4.88443043,161.9128171,4.66659507,154.6918448,4.47593566,148.3717216,4.15358241,137.6861107,1.93040781,63.99062719,0.47984282,15.90619497,19.7186513,36.693372,61.1006175,17.5472889,63.5694028,8.780049702,0.395216564
410,120,75.5,2.441252591,45.14039121,62,2.938171805,34.09215331,182.1666519,4.99514363,166.1172693,4.86918996,161.928585,4.6514969,154.6890381,4.45256289,148.0733375,4.12412728,137.1509636,2.31789432,77.08332402,0.58574652,19.47944236,19.7657221,28.1290249,59.4723174,17.7245993,48.6672507,8.882384468,0.476032839
400,120,75.33,2.43383316,45.30712,57,3.138217858,29.60480354,178.8784179,4.67085801,158.1883148,4.81701054,163.138074,4.6038701,155.91963,4.4276085,149.9501646,4.13880267,140.1691549,1.77681466,60.17552155,0.39692559,13.44271011,19.7652976,35.9966515,66.6470814,17.4263745,67.527319,15.32580197,0.368862523
400,120,75.33,2.43383316,45.30712,57,3.148553597,29.37295656,179.467555,4.90856361,165.6929982,4.81778934,162.6288308,4.60352796,155.3962443,4.41971075,149.1913284,4.13022084,139.419335,1.97683727,66.72992759,0.51049168,17.23210775,18.4111848,31.7436489,60.0671849,14.3020306,47.6836514,8.498942431,0.410320404
400,120,75.33,2.43383316,45.30712,57,3.172388033,28.83831239,180.8261179,5.00301085,167.6123308,4.85448773,162.6364659,4.63800236,155.3837098,4.45896744,149.3856296,4.15547189,139.217833,1.58031573,52.94419919,0.41796466,14.00277412,19.2989809,41.7345592,59.3242551,17.4761672,62.5581634,8.406339041,0.325537074
480,145,72.4,2.54,42.94,66,2.750601703,38.29964776,181.5397124,4.95249722,165.2678118,4.82158723,160.8992666,4.57504475,152.6719958,4.2609107,142.1891535,3.57284115,119.2278587,1.01137915,33.7503307,2.68E-05,0.000893097,81.1653446,112.786352,160.286361,90.7792559,162.892322,9.525585904,0.209760625
480,145,72.4,2.54,42.94,66,2.762277293,38.03774578,182.3103013,4.95738464,164.7316647,4.82869989,160.4555283,4.58239784,152.2710218,4.21173031,139.9539063,3.26492034,108.4918363,0.61274743,20.36132185,2.68E-05,0.000891084,93.5428354,117.516573,180.024202,105.647259,184.665289,9.324732032,0.126896979
480,145,72.4,2.54,42.94,65,2.782539747,37.58322686,180.8650835,4.94042904,165.480038,4.80391362,160.9074439,4.54466256,152.2238103,4.32789465,144.9631531,3.59585982,120.443592,0.88725327,29.71861424,2.66E-05,0.000892242,86.5004841,115.843013,163.636411,95.8450681,169.763071,9.317983173,0.184693843
473,145,75,2.44,45.14,62,2.948658944,33.85691017,182.8168546,4.96289732,164.4578987,4.88319035,161.8166108,4.66495554,154.5848596,4.4691268,148.0955892,4.14199045,137.2551157,2.26483581,75.05094589,0.50312354,16.67224503,22.0593936,28.7362005,67.0692867,20.8343692,47.3813182,8.781435743,0.463802483
473,145,75,2.44,45.14,62,2.952035841,33.78116104,183.0262221,4.74242064,156.9720883,4.8879392,161.7886902,4.67081524,154.6019803,4.4756268,148.1413267,4.13462254,136.854232,1.91851718,63.50209547,0.44010423,14.56726117,24.2056228,40.3999306,68.1808111,22.871744,70.2078714,17.07424827,0.392500214
473,145,75,2.44,45.14,62,2.957682762,33.65449166,183.3763312,5.01994187,165.8406869,4.89181382,161.6078005,4.6716644,154.3348615,4.47797829,147.9361743,4.1608978,137.460984,1.97680189,65.30637043,0.49486919,16.34868461,19.9375789,29.4947019,61.9701103,17.7837843,51.6407396,8.82803894,0.404104073
460,145,74,2.47,44.41,57,3.156287545,29.19947185,179.9083901,4.955470703,166.866507,4.810142997,161.9728596,4.598003934,154.8294606,4.412555629,148.5848245,4.088522752,137.6736039,1.35205439,45.52798451,0.353432844,11.90121134,22.18191323,49.72876672,64.80183534,22.80860418,67.84819004,8.783032245,0.281084032
460,145,74,2.47,44.41,57,3.162348185,29.06352209,180.2538465,4.981607837,167.4251413,4.831642289,162.3850009,4.619972196,155.2710537,4.437017993,149.1222089,4.099681361,137.7847783,1.314026396,44.16266038,0.338025648,11.36058754,20.16408121,43.94041548,62.05418514,18.44301005,65.37158918,8.579048458,0.271962682
460,145,74,2.47,44.41,57,3.164368398,29.01820551,180.3689987,4.971572726,166.9812016,4.818482114,161.8393168,4.609718075,154.8275175,4.423148816,148.5611787,4.075403131,136.8813752,1.405966207,47.22246654,0.345629782,11.60873619,23.23142449,54.34956706,60.8323505,23.88031551,63.20495407,8.884272691,0.291786121